Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Saha M.; Giri R.N.,"Saha, Mritunjoy (57215764248); Giri, Raghu Nandan (57195519088)",57215764248; 57195519088,Consumers' purchasing decisions of a dual-channel supply chain system under return and warranty policies,2023,International Journal of Systems Science: Operations and Logistics,10,1,2173990,,,,0,10.1080/23302674.2023.2173990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148477015&doi=10.1080%2f23302674.2023.2173990&partnerID=40&md5=54ffed208a318def15d40e2948b7ca56,"With the rapid growth of internet technology, particularly during the COVID-19 pandemic, a major portion of consumers have intended to do online shopping. Also the use of eco-friendly products is essential in today's environment and human health. Thus this paper investigates the consumers' purchasing behaviour towards substitutable non-green and eco-friendly products in a dual-channel (offline and online channels) supply chain system. The manufacturer offers a novel combination of promotions such as a return policy in the online channel and a warranty policy in the offline channel depending on the position and situation of consumers. Here, the environmental burden is reduced by considering remanufacturing/refurbishing used products during the warranty period. Therefore, consumers' demand depends on price, eco-friendliness level, warranty and return agreements. The entire problem is modelled under centralised and decentralised decision-making scenarios. Finally, the profit maximisation problem is formulated and solved in the game theory framework. A series of sensitivity analyses of various parameters is conducted numerically to validate the problem. It is observed that, due to the instant return facility in the online channel, online demand is higher than the offline with a higher warranty period. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",Dual-channel supply chain; remanufacturing/refurbishing activity; return policy; Stackelberg game; traditional and eco-friendly product; warranty policy,,Article,Final,,Scopus,2-s2.0-85148477015
Tuyen D.T.T.; Van Hop N.,"Tuyen, Do Thi Thanh (57575183800); Van Hop, Nguyen (58092653600)",57575183800; 58092653600,A dynamic game approach for the vehicle routing problem with returns,2023,Engineering Optimization,55,6,,891,906,15,0,10.1080/0305215X.2022.2048829,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128216763&doi=10.1080%2f0305215X.2022.2048829&partnerID=40&md5=3226ab5534775d3aefe06f529d7e4e32,"In this article, a dynamic game approach is proposed to deal with the vehicle routing problem with random product returns. A mixed-integer programming model is developed. Then, a three-phase procedure is designed for sequencing the delivery with random returns. The first phase uses a local search-based procedure to generate the initial delivery sequence without returns. Then, the estimated probability of return is embedded in the game model to choose the best near Nash equilibrium solution to modify the delivery sequence. Finally, the distribution sequence is updated with the actual returns for the best-expected pay-off solution. To confirm the advantage of the proposed method, numerical experiments and sensitivity analyses are conducted for a real case of an e-commerce company in Viet Nam. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",game theory; product returns; Vehicle routing problem,Integer programming; Numerical methods; Sensitivity analysis; Vehicle routing; Vehicles; Dynamic game; Game approach; Game models; Local search; Mixed integer programming model; Product returns; Search-based; Three phase; Three phasis; Vehicle Routing Problems; Game theory,Article,Final,,Scopus,2-s2.0-85128216763
Sahin Mencutek Z.,"Sahin Mencutek, Zeynep (56524507400)",56524507400,The Geopolitics of Returns: Geopolitical Reasoning and Space-Making in Turkey’s Repatriation Regime,2023,Geopolitics,28,3,,1079,1105,26,5,10.1080/14650045.2022.2081550,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131534170&doi=10.1080%2f14650045.2022.2081550&partnerID=40&md5=31db4cda9a7e0a20acc164b8a194fa8e,"Despite growing interest in the return of rejected asylum seekers, irregular migrants, and refugees, we do not know enough about how geopolitics affects returns governance. This article addresses this knowledge gap by analysing the case of Turkey, exploring how positions in the global migration regime and relations with countries of origin influence return policies. It first argues that Turkey’s geopolitical reasoning has led it to design an asylum regime, including repatriation and deportation procedures, centred on temporariness. Second, it contends that Turkey’s extraterritorial space-making strategies–namely, military intervention in Syria and humanitarian/development projects in Afghanistan–guide return policies. Examining the Turkish case contributes to our understanding of national returns governance in transit-turned-host countries, which increasingly emphasise repatriation over long-term protection. Finally, the paper contributes more generally to our understanding of the geopolitics of returns by focusing on specific mechanisms that link geopolitical concerns with policy instruments at the state level. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.",,Afghanistan; Syrian Arab Republic; Turkey; asylum seeker; geopolitics; immigrant; refugee; repatriation; return migration,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85131534170
Kannan D.; Solanki R.; Darbari J.D.; Govindan K.; Jha P.C.,"Kannan, Devika (35558819200); Solanki, Rahul (57209296722); Darbari, Jyoti Dhingra (56514155200); Govindan, Kannan (54986334000); Jha, P.C. (57211378323)",35558819200; 57209296722; 56514155200; 54986334000; 57211378323,A novel bi-objective optimization model for an eco-efficient reverse logistics network design configuration,2023,Journal of Cleaner Production,394,,136357,,,,3,10.1016/j.jclepro.2023.136357,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147845364&doi=10.1016%2fj.jclepro.2023.136357&partnerID=40&md5=b4921b63a56f661fd4c119e948bd5435,"Ecological sustainability has become a top priority for governments and business practitioners because of the massive surge in electronic waste (e-waste). This ecological context has compelled electronic firms to adopt reverse logistics (RL) and to invest in advanced technologies with a focus on sustainable recovery practices and on reducing excessive carbon emissions (CEs). This study proposes a multi-objective mixed integer programming (MOMIP) model for configuring a RL network design; it incorporates multiple products, multiple recovery facilities, multiple processing technologies, and a selection of vehicle types. The novelty of this study lies in its consideration of four green technologies (inspection, dismantling, repair/refurbishing, and recycling facilities), and its efforts to maximize return yield potential in the form of product, components, and material recovery. The main objective of the model is to minimize overall RL network cost and environmental impact due to processing and transportation. Further, a weighted goal programming technique is used to determine efficient solutions and furnish a trade-off among the conflicting objectives. The mathematical model is validated utilizing a real life case study of an electronics manufacturing firm in India. The total RL network cost and emissions are both reduced, and different technologies are selected automatically for the RL processing facilities. The results demonstrate that the return yield increases significantly with the greener technology selections. The study also draws significant implications, specifically that carbon tax regulatory policies aid in significantly reducing carbon emissions to a large extent along with increasing product return yield. Hence, the results will help industrial managers in their strategic and tactical decision making. Their evaluations of recovery options, technology selection, and vehicle selection with regard to economic and ecological impact will permit decision makers to gain valuable managerial insights. © 2023 The Authors",Carbon tax policy; Eco-efficiency; Multi objective; Network design; Reverse logistics,Carbon; Computer system recovery; Economic and social effects; Electronic Waste; Environmental impact; Goal programming; Integer programming; Product design; Recycling; Supply chains; Sustainable development; Carbon emissions; Carbon tax policy; Carbon taxes; Eco-efficiency; Green technology; Multi objective; Network design; Reverse logistics; Reverse logistics network design; Tax policies; Decision making,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85147845364
Kargirwar H.; Bhagavatula P.; Konde S.; Chaudhari P.; Dhamde V.; Sakarkar G.; Correa J.C.,"Kargirwar, Hrutuja (58159536500); Bhagavatula, Praveen (58158965700); Konde, Shrutika (58159536600); Chaudhari, Paresh (58158409800); Dhamde, Vipul (58159536700); Sakarkar, Gopal (35107956900); Correa, Juan C. (57190250874)",58159536500; 58158965700; 58159536600; 58158409800; 58159536700; 35107956900; 57190250874,E-commerce Product’s Trust Prediction Based on Customer Reviews,2023,Lecture Notes in Networks and Systems,608,,,375,383,8,0,10.1007/978-981-19-9225-4_28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150982506&doi=10.1007%2f978-981-19-9225-4_28&partnerID=40&md5=47244a796501fb64168bb8bfe036c1ea,"The Internet is strengthening the e-commerce industry, which is fast growing and helping enterprises of all sizes, from multinational organizations to tiny firms. Customers may buy things online with little or no personal interaction with sellers they purchase online; user reviews play a vital role in online shopping. Consumers’ comprehension and interpretation of product reviews impacts buying decisions. This research paperwork presents a unique, reproducible data processing methodology for customer evaluations across 10 product categories on India’s one of the most popular e-commerce platforms with 11,559 customer reviews. We investigated the efficacy of a collection of machine learning algorithms that may be used to assess huge reviews on e-commerce platforms by using consumer ratings as a source to automatically classify product reviews as highly trustable or not-so-trustable. Results show that the algorithms can reach up to 85% of accuracy in classifying product reviews correctly. The research discusses the practical ramifications of these findings in terms of consumer complaints and product returns, as evidenced by customer reviews. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",Classification; E-commerce; India; Machine learning algorithms; Reviews,Data handling; Learning algorithms; Machine learning; Sales; Commerce platforms; Customer review; E- commerces; India; Machine learning algorithms; Multinational organizations; Personal interaction; Prediction-based; Product reviews; Trust predictions; Electronic commerce,Conference paper,Final,,Scopus,2-s2.0-85150982506
Ma Y.; Zhang C.; Li Y.,"Ma, Yong (57226848149); Zhang, Cuihua (57558404700); Li, Yanting (57211425672)",57226848149; 57558404700; 57211425672,Strategies for the retail platform to counteract match uncertainty: Virtual showroom and return or exchange policy,2023,Computers and Industrial Engineering,176,,108832,,,,0,10.1016/j.cie.2022.108832,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145250285&doi=10.1016%2fj.cie.2022.108832&partnerID=40&md5=e76a82740d5f29bd53ccb66dc02bfab7,"In a duopoly market consisting of a brick-and-motor (BM) store and a retailer platform, we explore strategies for the platform to counteract product match uncertainty. Three counteractive strategies are proposed: introducing virtual showrooms, offering a full-refund return policy and offering an exchange policy. Accordingly, duopoly competitive models are constructed to examine the roles of these strategies in mitigating product match uncertainty. In addition, the interaction among these three counteractive strategies is also explored. Results show that: these three strategies have positive effects on the platform's demands but adverse effects on BM store's. Both the full-refund return policy and the exchange policy can benefit the platform, especially the exchange policy. Nevertheless, whether introducing virtual showrooms can benefit the platform mainly relies on the establishing cost. In most cases, it is more advisable for the platform to offer an exchange policy rather than a full-refund return policy. Generally, introducing virtual showrooms and offering a return policy (an exchange policy) are two complementary methods, but the refund return policy can be seen as a replaceable measure for the exchange policy. In extensions, we explore the impacts of endogenous signal accuracy, managerial optimism and the partial-refund return policy. Several findings are also achieved: it is always beneficial to establish virtual showrooms if the platform can endogenously determine the accuracy of the information disclosed by the virtual showroom. Compared with managerial pessimism, managerial optimism generates more profits for the platform. A generous return policy leads to a higher selling price and greater profits for the platform. © 2022 Elsevier Ltd",Exchange policy; Full-refund return policy; Product match uncertainty; Showrooming; Virtual showroom,Competition; Sales; Adverse effect; Competitive models; Duopoly markets; Exchange policy; Full-refund return policy; Product match uncertainty; Return policy; Showrooming; Uncertainty; Virtual showroom; Profitability,Article,Final,,Scopus,2-s2.0-85145250285
Zhang D.; Frei R.; Senyo P.K.; Bayer S.; Gerding E.; Wills G.; Beck A.,"Zhang, Danni (57908211600); Frei, Regina (7103231288); Senyo, P.K. (57190031122); Bayer, Steffen (8636361800); Gerding, Enrico (6508139443); Wills, Gary (57907825500); Beck, Adrian (23007897500)",57908211600; 7103231288; 57190031122; 8636361800; 6508139443; 57907825500; 23007897500,Understanding fraudulent returns and mitigation strategies in multichannel retailing,2023,Journal of Retailing and Consumer Services,70,,103145,,,,3,10.1016/j.jretconser.2022.103145,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138767985&doi=10.1016%2fj.jretconser.2022.103145&partnerID=40&md5=60f119eedba41d06a3f3df4aca495f03,"The growth of online retailing has exceeded expectations over the last few years. This has resulted in high product return rates, which retailers are struggling with due to complex and costly returns processing, logistics, and financial implications. Additionally, online returns come with increased opportunities for returns fraud. During the pandemic, new types of returns fraud have emerged and returns fraud rates have increased across all channels. Based on a series of semi-structured interviews with retailers and retail experts, we investigate factors that enable fraudulent returns from consumers' and retailers’ perspectives and outline strategies for retailers to combat product returns fraud in a multichannel environment, leading to a framework for retail fraud. We contribute critical insights to research and practices on understanding and addressing a growing problem that has economic, social and environmental implications. © 2022 The Authors",eCommerce; Fraud; Multichannel retail; Product returns,consumption behavior; crime; electronic commerce; retailing; strategic approach,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85138767985
Yang Y.; Chai R.; Sun X.; Li Y.,"Yang, Ying (56420845800); Chai, Rui (58036326800); Sun, Xinyu (57221338669); Li, Yiming (57215097974)",56420845800; 58036326800; 57221338669; 57215097974,Optimal Pricing and Return-Freight Insurance: Strategic Analysis of E-Sellers in the Presence of Reputation Differentiation,2022,Journal of Systems Science and Complexity,35,6,,2302,2318,16,0,10.1007/s11424-022-1262-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145239886&doi=10.1007%2fs11424-022-1262-x&partnerID=40&md5=387972b4eee4fedd2a2be5eeb1ab154f,"Motivated by the practice that e-sellers cooperate with insurance companies to offer consumers the return-freight insurance (RI), this paper aims to investigate the competing e-sellers’ RI strategies. Regarding the information asymmetry in the online context, reputation system is widely applied by e-platforms. In an online market with two competing e-sellers that sell the same product but are differentiated in their reputation, this paper builds an analytical model to explore the e-sellers optimal pricing and RI strategies. Combined with sellers’ reputation and their RI strategies, the equilibrium outcomes under four cases are discussed. This paper reveals the conditions that e-sellers are willing to offer RI. Specifically, the findings demonstrate that low reputation e-seller is more likely to offer RI. Moreover, when the sellers are more divergent, they are more likely to co-exist in the market. Insurance premium and RI compensation play critical roles in their decisions. RI introduction tends to increase the price, thus offsets the benefits of RI, but does not affect the total consumer surplus. © 2022, The Editorial Office of JSSC & Springer-Verlag GmbH Germany.",Game theory; product returns; reputation; return-freight insurance,Costs; Insurance; E-platforms; Information asymmetry; Insurance companies; Online markets; Optimal pricing; Product returns; Reputation; Reputation systems; Return-freight insurance; Strategic analysis; Game theory,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85145239886
Cheng M.-C.; Huang C.-H.; Yen H.-F.,"Cheng, Mei-Chuan (25822000800); Huang, Chien-Hsiu (57207451165); Yen, Hsiu-Feng (35176979200)",25822000800; 57207451165; 35176979200,Optimal Ordering and Advertisement Policies for a Two-Warehouse Inventory System with Advance Sales and Product Return Guarantee,2023,International Journal of Information and Management Sciences,34,1,,65,78,13,0,10.6186/IJIMS.202303_34(1).0004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159062068&doi=10.6186%2fIJIMS.202303_34%281%29.0004&partnerID=40&md5=c3e8304f35135755d97db7db877a849b,"In the real market, competition is becoming more intense. Companies must create customer value. They must also clearly and persuasively communicate that value to target customers. In practice, advertisement plays a key role in stimulating demand. This research incorporates the frequency of advertisement into the demand function. In order to develop and maintain a competitive advantage, the retailer offers an appreciation period in which customers can ask to return products for any reason. In addition, by pro-viding advance sales, retailers extend the sales period and increase market share. In this article, we provide optimal ordering and advertisement policies for a two-warehouse inventory system with advance sales and product return guar-antee. We first establish a proper model and then provide an easy-to-use method to obtain optimal ordering and advertisement policies for the retailer to achieve maximum total profit. Finally, numerical examples are given to illustrate the solution procedure, followed by a sensitivity analysis that ex-amines the effect on the optimal solution of changes in the values of certain parameters. © 2023, Tamkang University. All rights reserved.",Advance sales; Advertisement; Appreciation period; Inventory; Return products,Amines; Commerce; Competition; Inventory control; Numerical methods; Sensitivity analysis; Advance sale; Advertisement; Appreciation period; Inventory; Inventory systems; Optimal ordering; Product returns; Real markets; Return product; Two-warehouse inventory; Sales,Article,Final,,Scopus,2-s2.0-85159062068
Chetioui Y.; El Bouzidi L.,"Chetioui, Youssef (55544504900); El Bouzidi, Laila (58193823000)",55544504900; 58193823000,An investigation of the nexus between online impulsive buying and cognitive dissonance among Gen Z shoppers: Are female shoppers different?,2023,Young Consumers,24,4,,406,426,20,0,10.1108/YC-06-2022-1548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153391778&doi=10.1108%2fYC-06-2022-1548&partnerID=40&md5=2670c770b669ba5bc71f37d2691da750,"Purpose: Though online impulsive buying emerged mostly in Western cultures, it has been widely expanded as a key pattern among online customers in emerging markets. Interestingly, while few studies suggest that engaging in unplanned purchase actions (i.e. impulsive buying) is not always associated with negative emotions among customers (i.e. postpurchase cognitive dissonance), others suggest that impulsive buying is directly associated with cognitive dissonance. This paper aims to investigate and understand the key antecedents of online impulsive buying among Moroccan Gen Z consumers, and how it contributes to postpurchase dissonance. The authors also try to gain deeper insights by investigating the disparities between males and females using mutigroup analysis. Design/methodology/approach: Based on data collected from 333 Moroccan Gen Zers, the hypothesized model was empirically tested using a partial least squares estimation. Findings: First, the results confirm that impulsive buying is positively associated with postpurchase dissonance. Second, while hedonic shopping motivation, fear of missing out and materialism were found to significantly impact online impulsive buying, price value and online reviews had no significant effect on online impulsive purchases. The importance–performance matrix also suggests that the fear of missing out is the most important factor leading to online impulsive buying, followed by hedonic shopping motivation and materialism. Finally, the results confirm that female shoppers are more likely to engage in impulsive buying behavior, and this was mainly due to higher fear of missing out, hedonic shopping motivation and materialism. Practical implications: First, the study findings can help online merchants to construct well-designed online shopping platforms and effective e-marketing tactics to stimulate purchase intentions among Gen Z shoppers. Online merchants should also attempt to reduce the negative feelings associated with unplanned buying behavior by introducing additional incentives, effective consumer interactivity and flexible return policies. This would help online suppliers in retaining customers and transforming impulse purchases into more recurrent ones. Second, online retailers should take into consideration the differences between male and female consumers by appealing to the role of gender in purchase situations when marketing their products and services. Finally, the findings offer interesting implications to society by allowing online shoppers to make well-informed purchase decisions without being influenced by personal and products’ traits. Originality/value: While prior research assessed the investigated constructs in separate models, the study suggests an integrated framework that incorporates different determinants of online impulsive shopping as well as its impact on postpurchase cognitive dissonance. Additionally, the authors explored the moderating effect of gender to gain deeper insights with regard to the disparities between males and females while engaging in online impulsive buying. To the best of the authors’ knowledge, this study is the first of its kind to investigate the antecedents of online impulsive buying among Gen Z consumers in Arab countries and Africa. © 2023, Emerald Publishing Limited.",Cognitive dissonance; Fear of missing out; Gender; Generation Z; Hedonic shopping motivation; Materialism; Online impulsive buying; Online reviews; Price value,,Article,Final,,Scopus,2-s2.0-85153391778
